2910	統領	26.25
2911	麗嬰房	8.51
2912	統一超	264.5
2913	農林	20.45
2915	潤泰全	71.9
2916	滿心	49.2
2923	鼎固-KY	28.15
2924	東凌-KY	27.7
2926	誠生	47.95
2929	淘帝-KY	15.1
2937	集雅社	38.3
2939	凱羿-KY	32.35
2941	米斯特	61.5
2945	三商家購	41.2
2947	振宇五金	83.5
2948	寶陞	48.45
2949	欣新網	82.6
3002	歐格	14.4
3003	健和興	74.1
3004	豐達	90.6
3005	神基	104
3006	晶豪科	62.8
3010	華立	129
3011	今皓	26.05
3013	晟銘	139
3014	聯陽	143
3015	全漢	59.3
3016	嘉晶	46.55
3017	奇鋐	651
3018	隆銘綠能	27.5
3019	亞光	144.5
3021	衛展	28.85
3022	威強電	76.8
3023	信邦	258
3024	憶聲	19.35
3025	星通	74
3026	禾伸堂	85
3027	盛達	29.1
3028	增你強	30.05
3029	零壹	140.5
3030	德律	124.5
3031	佰鴻	20.25
3032	偉訓	91
3033	威健	34.1
3034	聯詠	480
3035	智原	245
3036	文曄	104
3037	欣興	141.5
3038	全台	25.85
3040	遠見	47.95
3041	揚智	40.15
3042	晶技	102.5
3043	科風	42.2
3044	健鼎	194.5
3045	台灣大	116
3046	建碁	49.5
3047	訊舟	30.25
3048	益登	30.65
3049	精金	9.46
3050	鈺德	17.6
3051	力特	31.3
3052	夆典	11.55
3054	立萬利	23.2
3055	蔚華科	62
3056	富華新	32.2
3057	喬鼎	11.5
3058	立德	15.45
3059	華晶	32.05
3060	銘異	24
3062	建漢	31
3064	泰偉	76
3066	李洲	22.4
3067	全域	26.35
3071	協禧	27.3
3073	普格	58.9
3078	僑威	67.2
3081	聯亞	356.5
3083	網龍	43.3
3085	久大	24
3086	華義	157
3088	艾訊	103.5
3090	日電貿	68
3092	鴻碩	29.2
3093	港建	26.55
3094	聯傑	28.6
3095	及成	41.95
3105	穩懋	112.5
3114	好德	25.95
3115	寶島	9.55
3118	進階	32.3
3122	笙泉	32.95
3128	昇銳	27.65
3130	一零四	221.5
3138	耀登	107
3141	晶宏	75.6
3147	大綜	154.5
3149	正達	30.9
3152	璟德	177
3162	精確	38.25
3163	波若威	125
3164	景岳	19.95
3167	大量	109
3168	眾福科	45.5
3169	亞信	111.5
3171	新洲	35.5
3176	基亞	32
3178	公準	61.2
3188	安茂微	27.2
3189	景碩	93.2
3191	雲科	18.65
3202	樺晟	7
3205	佰研	32.75
3206	志豐	41.8
3207	耀勝	93.5
3209	全科	34.7
3211	順達	177.5
3213	茂訊	85.1
3217	優群	158
3218	大學光	202
3219	倚強	46.35
3221	台嘉碩	25.4
3224	三顧	50.8
3226	至寶電	46.6
3227	原相	247
3228	金麗科	203
3229	晟鈦	18.3
3230	錦明	54.7
3231	緯創	108.5
3232	昱捷	22.9
3234	光環	46.05
3236	千如	20.7
3252	海灣科	19.9
3257	虹冠電	52
3259	鑫創	22
3260	威剛	78.3
3264	欣銓	50.7
3265	台星科	112.5
3266	昇陽	18.6
3268	海德威	23.4
3272	東碩	28.65
3276	宇環	15.6
3284	太普高	29.6
3285	微端	27.35
3287	廣寰科	33.3
3288	點晶	22.3
3289	宜特	139.5
3290	東浦	31.1
3293	鈊象	1000
3294	英濟	26.8
3296	勝德	31.8
3297	杭特	20.65
3303	岱稜	51.6
3305	昇貿	66.1
3306	鼎天	50.9
