Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
22W12,14.3,+1.35,+10.4%,0.03,413.1,0.017,0.222,0.426,0.63,0.834,1.038
22W11,12.95,-0.05,-0.38%,0.04,350.7,0.018,0.236,0.454,0.672,0.89,1.108
22W10,13,+0.15,+1.17%,0.04,331.4,0.02,0.251,0.483,0.714,0.945,1.177
22W09,12.85,-0.15,-1.15%,0.04,309.4,0.021,0.266,0.511,0.756,1.001,1.246
22W08,13,+0.5,+4%,0.04,296.5,0.022,0.281,0.539,0.798,1.057,1.315
22W07,12.5,-0.2,-1.57%,0.05,270.8,0.023,0.295,0.568,0.84,1.112,1.385
22W05,12.7,-0.3,-2.31%,0.05,262.1,0.024,0.31,0.596,0.882,1.168,1.454
22W04,13,-0.25,-1.89%,0.05,256.1,0.025,0.325,0.624,0.924,1.224,1.523
22W03,13.25,-0.15,-1.12%,0.05,249.6,0.027,0.34,0.653,0.966,1.279,1.592
22W02,13.4,0,0%,0.06,241.9,0.028,0.354,0.681,1.008,1.335,1.662
22W01,13.4,0,0%,0.06,232.3,0.029,0.369,0.71,1.05,1.39,1.731
21W52,13.4,-0.2,-1.47%,0.06,223.3,0.03,0.384,0.738,1.092,1.446,1.8
21W51,13.6,-0.2,-1.45%,0.05,273.1,0.025,0.319,0.613,0.906,1.2,1.494
21W50,13.8,+0.2,+1.47%,0.04,348.4,0.02,0.253,0.487,0.721,0.955,1.188
21W49,13.6,-0.25,-1.81%,0.03,462.4,0.015,0.188,0.362,0.535,0.709,0.882
21W48,13.85,+0.05,+0.36%,0.02,720.8,0.01,0.123,0.236,0.35,0.463,0.576
21W47,13.8,+0.25,+1.85%,0.01,1530,0.005,0.058,0.111,0.164,0.217,0.271
21W46,13.55,-0.1,-0.73%,0,,-,-,-,-,-,-
21W45,13.65,+0.3,+2.25%,-0.01,,-,-,-,-,-,-
21W44,13.35,+0.65,+5.12%,-0.02,,-,-,-,-,-,-
21W43,12.7,0,0%,-0.03,,-,-,-,-,-,-
21W42,12.7,-0.05,-0.39%,-0.04,,-,-,-,-,-,-
21W41,12.75,-0.15,-1.16%,-0.05,,-,-,-,-,-,-
21W40,12.9,-0.25,-1.9%,-0.06,,-,-,-,-,-,-
21W39,13.15,-0.05,-0.38%,-0.07,,-,-,-,-,-,-
21W38,13.2,+0.15,+1.15%,-0.08,,-,-,-,-,-,-
21W37,13.05,-0.2,-1.51%,-0.09,,-,-,-,-,-,-
21W36,13.25,+0.1,+0.76%,-0.1,,-,-,-,-,-,-
21W35,13.15,+0.05,+0.38%,-0.11,,-,-,-,-,-,-
21W34,13.1,-0.25,-1.87%,-0.12,,-,-,-,-,-,-
21W33,13.35,-0.1,-0.74%,-0.13,,-,-,-,-,-,-
21W32,13.45,-0.05,-0.37%,-0.14,,-,-,-,-,-,-
21W31,13.5,-0.5,-3.57%,-0.15,,-,-,-,-,-,-
21W30,14,+0.5,+3.7%,-0.16,,-,-,-,-,-,-
21W29,13.5,-0.4,-2.88%,-0.17,,-,-,-,-,-,-
21W28,13.9,-0.2,-1.42%,-0.18,,-,-,-,-,-,-
21W27,14.1,+0.15,+1.08%,-0.19,,-,-,-,-,-,-
21W26,13.95,-0.2,-1.41%,-0.21,,-,-,-,-,-,-
21W25,14.15,+0.05,+0.35%,-0.22,,-,-,-,-,-,-
21W24,14.1,-0.3,-2.08%,-0.23,,-,-,-,-,-,-
21W23,14.4,-0.3,-2.04%,-0.24,,-,-,-,-,-,-
21W22,14.7,-0.15,-1.01%,-0.25,,-,-,-,-,-,-
21W21,14.85,-0.7,-4.5%,-0.26,,-,-,-,-,-,-
21W20,15.55,-0.6,-3.72%,-0.27,,-,-,-,-,-,-
21W19,16.15,-0.55,-3.29%,-0.28,,-,-,-,-,-,-
21W18,16.7,+0.1,+0.6%,-0.29,,-,-,-,-,-,-
21W17,16.6,0,0%,-0.3,,-,-,-,-,-,-
21W16,16.6,-0.15,-0.9%,-0.31,,-,-,-,-,-,-
21W15,16.75,+0.45,+2.76%,-0.32,,-,-,-,-,-,-
21W14,16.3,-0.2,-1.21%,-0.33,,-,-,-,-,-,-
21W13,16.5,-0.3,-1.79%,-0.34,,-,-,-,-,-,-
21W12,16.8,+1.35,+8.74%,-0.35,,-,-,-,-,-,-
21W11,15.45,-0.55,-3.44%,-0.36,,-,-,-,-,-,-
